Order,Family,Preservation,Origin,Inventory,Digitised,,
Acari,All families,Fluid,All,11670,184,,
Amphipoda,All families,Fluid,All,3270,481,,
Annelida,All families,Fluid,All,2970,178,,
Araneae,All families,Fluid,All,11670,447,,
Chilopoda,All families,Fluid,All,3150,44,,
Coleoptera,All families,Fluid,All,60000,11681,,
Diplopoda,All families,Fluid,All,3420,20,,
Diptera,All families,Fluid,All,30000,799,,
Hemiptera,All families,Fluid,All,18000,358,,
Hymenoptera,All families,Fluid,All,19500,4259,,
Isopoda,All families,Fluid,All,4080,126,,
Lepidoptera,All families,Fluid,All,30000,297,,
Orthoptera,All families,Fluid,All,19500,752,,
Other Insects,All families,Fluid,All,28560,5733,,
Other Invertebrates,All families,Fluid,All,4950,231,,
Pseudoscorpiones,All families,Fluid,All,3630,101,,
Acari,All families,Slide,All,15591,248,,
Coleoptera,All families,Slide,All,1305,244,,
Diptera,All families,Slide,All,4820,4060,,
Hemiptera,All families,Slide,All,34901,25015,,
Hymenoptera,All families,Slide,All,2169,2169,,
Lepidoptera,All families,Slide,All,4169,1988,,
Nematoda,All families,Slide,All,2114,2114,,
Other Insects/Invertebrates,All families,Slide,All,6671,2433,,
Thysanoptera,All families,Slide,All,11971,9018,,
Blattodea,All families,Pinned,All,1535,0,,
Coleoptera,All families,Pinned,All,635755,57968,,
Dermaptera,All families,Pinned,All,690,8,,
Diptera,All families,Pinned,All,136382,10681,,
Hemiptera,All families,Pinned,All,91926,79837,,
Hymenoptera,All families,Pinned,All,147925,75111,,
Isoptera,All families,Pinned,All,280,0,,
Lepidoptera,All families,Pinned,All,159161,8381,,
Mantodea,All families,Pinned,All,487,367,,
Mecoptera,All families,Pinned,All,180,2,,
Megaloptera,All families,Pinned,All,83,83,,
Neuroptera,All families,Pinned,All,1832,11,,
Odonata,All families,Pinned,All,1960,1631,,
Orthoptera,All families,Pinned,All,3380,45,,
Other Insects,All families,Pinned,All,336,0,,
Other Invertebrates,All families,Pinned,All,585,585,,
Phasmida,All families,Pinned,All,545,338,,
Plecoptera,All families,Pinned,All,715,185,,
Psocoptera,All families,Pinned,All,123,15,,
Trichoptera,All families,Pinned,All,3655,48,,
Blattodea,All families,Pinned,New Zealand,835,0,,
Coleoptera,Combined small families,Pinned,New Zealand,8849,1395,,
Coleoptera,Aderidae,Pinned,New Zealand,509,509,,
Coleoptera,Agyrtidae,Pinned,New Zealand,351,1,,
Coleoptera,Anobiidae,Pinned,New Zealand,5753,9,,
Coleoptera,Anthicidae,Pinned,New Zealand,2161,6,,
Coleoptera,Archeocrypticidae,Pinned,New Zealand,505,116,,
Coleoptera,Bostrichidae,Pinned,New Zealand,543,52,,
Coleoptera,Bothrideridae,Pinned,New Zealand,150,1,,
Coleoptera,Buprestidae,Pinned,New Zealand,401,3,,
Coleoptera,Byrrhidae,Pinned,New Zealand,3835,5,,
Coleoptera,Cantharidae,Pinned,New Zealand,1079,27,,
Coleoptera,Carabidae,Pinned,New Zealand,56271,28572,,
Coleoptera,Cavognathidae,Pinned,New Zealand,116,26,,
Coleoptera,Cerambycidae,Pinned,New Zealand,15381,2576,,
Coleoptera,Cerylonidae,Pinned,New Zealand,2533,1,,
Coleoptera,Chaetosomatidae,Pinned,New Zealand,107,1,,
Coleoptera,Chalcodryidae,Pinned,New Zealand,141,6,,
Coleoptera,Chelonariidae,Pinned,New Zealand,14,0,,
Coleoptera,Chrysomelidae,Pinned,New Zealand,15838,445,,
Coleoptera,Ciidae,Pinned,New Zealand,7635,2,,
Coleoptera,Clambidae,Pinned,New Zealand,360,23,,
Coleoptera,Cleridae,Pinned,New Zealand,1546,10,,
Coleoptera,Coccinellidae,Pinned,New Zealand,8866,42,,
Coleoptera,Corylophidae,Pinned,New Zealand,9673,235,,
Coleoptera,Cryptophagidae,Pinned,New Zealand,5543,651,,
Coleoptera,Cucujidae,Pinned,New Zealand,38,3,,
Coleoptera,Curculionidae,Pinned,New Zealand,115731,4889,,
Coleoptera,Cyclaxyridae,Pinned,New Zealand,337,1,,
Coleoptera,Dermestidae,Pinned,New Zealand,858,432,,
Coleoptera,Derodontidae,Pinned,New Zealand,151,3,,
Coleoptera,Dryopidae,Pinned,New Zealand,984,4,,
Coleoptera,Dytiscidae,Pinned,New Zealand,1930,8,,
Coleoptera,Elateridae,Pinned,New Zealand,8887,405,,
Coleoptera,Elmidae,Pinned,New Zealand,392,337,,
Coleoptera,Endomychidae,Pinned,New Zealand,3893,1,,
Coleoptera,Erotylidae,Pinned,New Zealand,3386,37,,
Coleoptera,Eucnemidae,Pinned,New Zealand,171,5,,
Coleoptera,Histeridae,Pinned,New Zealand,2930,15,,
Coleoptera,Hydraenidae,Pinned,New Zealand,2330,42,,
Coleoptera,Hydrophilidae,Pinned,New Zealand,5380,3843,,
Coleoptera,Jacobsoniidae,Pinned,New Zealand,41,5,,
Coleoptera,Laemophloeidae,Pinned,New Zealand,205,18,,
Coleoptera,Lamingtoniidae,Pinned,New Zealand,1,0,,
Coleoptera,Latridiidae,Pinned,New Zealand,11500,31,,
Coleoptera,Leiodidae,Pinned,New Zealand,9725,465,,
Coleoptera,Limnichidae,Pinned,New Zealand,351,5,,
Coleoptera,Lucanidae,Pinned,New Zealand,2098,685,,
Coleoptera,Lycidae,Pinned,New Zealand,187,0,,
Coleoptera,Megalopodidae,Pinned,New Zealand,6,0,,
Coleoptera,Melandryidae,Pinned,New Zealand,3811,7,,
Coleoptera,Melyridae,Pinned,New Zealand,3135,556,,
Coleoptera,Monotomidae,Pinned,New Zealand,519,68,,
Coleoptera,Mordellidae,Pinned,New Zealand,985,1,,
Coleoptera,Mycetophagidae,Pinned,New Zealand,2491,9,,
Coleoptera,Myraboliidae,Pinned,New Zealand,9,0,,
Coleoptera,Nitidulidae,Pinned,New Zealand,6437,2065,,
Coleoptera,Nosodendridae,Pinned,New Zealand,82,0,,
Coleoptera,Oedemeridae,Pinned,New Zealand,1615,88,,
Coleoptera,Phalacridae,Pinned,New Zealand,335,42,,
Coleoptera,Phloestrichidae,Pinned,New Zealand,23,0,,
Coleoptera,Phycosecidae,Pinned,New Zealand,657,0,,
Coleoptera,Priasilphidae,Pinned,New Zealand,178,5,,
Coleoptera,Prostomidae,Pinned,New Zealand,194,0,,
Coleoptera,Ptiliidae,Pinned,New Zealand,2502,37,,
Coleoptera,Ptilodactylidae,Pinned,New Zealand,123,0,,
Coleoptera,Pyrochroidae,Pinned,New Zealand,431,1,,
Coleoptera,Pythidae,Pinned,New Zealand,16,0,,
Coleoptera,Rhysodidae,Pinned,New Zealand,150,0,,
Coleoptera,Ripiphoridae,Pinned,New Zealand,109,2,,
Coleoptera,Salpingidae,Pinned,New Zealand,1991,6,,
Coleoptera,Scarabaeidae,Pinned,New Zealand,21781,144,,
Coleoptera,Scirtidae,Pinned,New Zealand,6923,12,,
Coleoptera,Scraptiidae,Pinned,New Zealand,2316,3,,
Coleoptera,Scydmaenidae,Pinned,New Zealand,6046,57,,
Coleoptera,Silvanidae,Pinned,New Zealand,1508,66,,
Coleoptera,Staphylinidae,Pinned,New Zealand,46284,5417,,
Coleoptera,Tenebrionidae,Pinned,New Zealand,16984,479,,
Coleoptera,Trogidae,Pinned,New Zealand,187,1,,
Coleoptera,Trogossitidae,Pinned,New Zealand,2827,737,,
